2018-01-29 00:53:40,247 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SMJ.bed.meta.json
2018-01-29 00:53:44,412 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 00:53:44,413 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 00:53:44,414 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 00:53:44,415 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 00:53:44,862 INFO  [main$] Start to read /home/federico/Scrivania/_Encode_Download_tsv/HG19_ENCODE/broadPeak/Transformations/ENCFF001SML.bed.meta.json
2018-01-29 00:53:44,864 INFO  [main$] File status released, start populate table
2018-01-29 00:53:44,875 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, file__replicate__experiment__target__investigated_as, feature, DEFAULT)
2018-01-29 00:53:44,876 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, target__name, target, DEFAULT)
2018-01-29 00:53:44,877 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__title, antibody, CONCAT)
2018-01-29 00:53:44,877 WARN  [main$] SourceKey does't find for List(EXPERIMENTSTYPE, replicates__1__antibody__url, antibody, CONCAT)
2018-01-29 00:53:44,879 WARN  [main$] SourceKey does't find for List(CONTAINERS, ENCODE, name, CONCAT-MANUALLY)
2018-01-29 00:53:45,266 INFO  [main$] Total time for insert data in DB 0:0:5
2018-01-29 00:53:45,266 INFO  [main$] Total file analized 6
2018-01-29 00:53:45,266 INFO  [main$] Total file released 6
2018-01-29 00:53:45,267 INFO  [main$] Total file archived 0
2018-01-29 00:53:45,267 INFO  [main$] Total file released but not inserted 0
2018-01-29 00:53:45,267 INFO  [main$] Total Item inserted or Updated 6
